"X","Display.Code","Display.Description","Direct.Effects","Indirect.Effects","Induced.Effects","Type.I.Effects","Type.SAM.Effects"
1,1,"Agriculture and Forestry",11.53,0.61,2.25,12.15,14.4
2,2,"Oil and Gas Extraction and Distribution",0.77,1.53,0.89,2.3,3.19
4,3,"Non-Fuel Mining and Quarrying",1.31,1.18,0.9,2.49,3.39
3,4,"Coal Mining",NA,NA,NA,NA,NA
5,5,"Nuclear Mining",NA,NA,NA,NA,NA
6,6,"Electric Power Generation",0.97,1.01,1.09,1.98,3.08
7,7,"Electric TSD",0.69,1.08,1.01,1.78,2.78
8,8,"Other Utilities and Pipeline",0.9,1.73,1.05,2.63,3.68
10,10,"power construction",5.77,1.05,1.88,6.82,8.71
11,11,"Road Construction",5.29,1.07,1.78,6.36,8.14
9,9,"General construction",5.81,1.22,1.91,7.03,8.94
13,12,"other manufacturing",2.05,1.47,1.08,3.52,4.6
14,13,"fiberglass and lightweight material manufacturing",2.1,1.16,0.93,3.26,4.19
15,14,"Cement and Concrete product manufacturing",2.44,1.54,1.43,3.98,5.4
16,15,"metal and wire manufacturing",3.61,1.41,1.42,5.03,6.45
17,16,"mechanical components",2.34,1.18,1.22,3.52,4.74
18,17,"semiconductors and batteries",1.3,1.89,1.19,3.18,4.37
19,18,"electrical components",2.63,1.36,1.43,3.99,5.43
20,19,"trade",4.41,1.73,1.54,6.14,7.68
21,20,"land transportation",7.52,2.1,1.65,9.62,11.28
22,21,"water transportation",1.31,2.88,1.24,4.19,5.43
23,22,"information and general services",5.33,1.65,1.77,6.98,8.75
24,24,"finance",4.11,2.41,1.66,6.52,8.17
25,25,"engineering legal professional",5.31,1.93,2.35,7.24,9.59
26,26,"leisure hospitality and recreation",9.79,1.9,1.89,11.69,13.58
27,27,"government non utility and other",6.52,0.34,2.74,6.87,9.61
