,Display Code,Display Description,Direct Effects,Indirect Effects,Induced Effects,Type I Effects,Type SAM Effects
1,1,Agriculture and Forestry,9.42,0.51,1.38,9.93,11.31
2,2,Oil and Gas Extraction and Distribution,1.18,2.55,0.68,3.73,4.41
3,4,Coal Mining,,,,,
4,3,Non-Fuel Mining and Quarrying,1.42,1.45,0.63,2.88,3.51
5,5,Nuclear Mining,,,,,
6,6,Electric Power Generation,1.07,0.92,1.08,1.99,3.07
7,7,Electric TSD,0.79,1.35,1.00,2.14,3.14
8,8,Other Utilities and Pipeline,0.85,1.51,0.87,2.37,3.24
9,9,General construction,5.73,1.19,1.79,6.92,8.72
10,10,power construction,5.72,1.03,1.78,6.75,8.52
11,11,Road Construction,5.24,1.07,1.67,6.31,7.98
12,23,warehousing and storage,4.00,1.46,1.34,5.46,6.80
13,12,other manufacturing,1.87,1.42,0.79,3.28,4.07
14,13,fiberglass and lightweight material manufacturing,2.06,1.44,0.97,3.49,4.46
15,14,Cement and Concrete product manufacturing,2.52,1.86,1.15,4.38,5.53
16,15,metal and wire manufacturing,3.23,1.26,1.18,4.49,5.67
17,16,mechanical components,,,,,
18,17,semiconductors and batteries,1.94,1.13,0.68,3.07,3.75
19,18,electrical components,2.62,1.26,1.30,3.88,5.18
20,19,trade,4.89,1.45,1.35,6.34,7.68
21,20,land transportation,8.10,2.79,1.12,10.89,12.01
22,21,water transportation,1.63,3.82,0.86,5.45,6.31
23,22,information and general services,5.96,1.60,1.45,7.56,9.01
24,24,finance,4.16,2.25,1.27,6.41,7.68
25,25,engineering legal professional,6.08,2.16,1.96,8.24,10.21
26,26,leisure hospitality and recreation,10.25,1.87,1.58,12.12,13.70
27,27,government non utility and other,8.94,0.09,3.02,9.02,12.04
