,Display Code,Display Description,Direct Effects,Indirect Effects,Induced Effects,Type I Effects,Type SAM Effects
1,1,Agriculture and Forestry,"809,845.63","52,889.42","232,926.08","862,735.05","1,095,661.13"
2,2,Oil and Gas Extraction and Distribution,"587,307.13","164,298.33","83,152.63","751,605.45","834,758.09"
3,4,Coal Mining,,,,,
4,3,Non-Fuel Mining and Quarrying,"618,835.97","121,850.50","83,794.07","740,686.48","824,480.55"
5,5,Nuclear Mining,,,,,
6,6,Electric Power Generation,"449,223.88","169,699.24","71,692.78","618,923.12","690,615.90"
7,7,Electric TSD,"425,363.71","319,436.82","80,150.48","744,800.53","824,951.01"
8,8,Other Utilities and Pipeline,"509,674.13","221,609.10","97,549.84","731,283.23","828,833.07"
9,9,General construction,"557,970.79","141,051.30","183,797.29","699,022.10","882,819.39"
10,10,power construction,"619,510.88","119,968.49","181,614.88","739,479.36","921,094.25"
11,11,Road Construction,"529,843.30","123,385.97","171,020.12","653,229.26","824,249.39"
12,23,warehousing and storage,"529,405.39","162,607.87","184,524.87","692,013.27","876,538.14"
13,12,other manufacturing,"383,869.78","147,419.90","104,927.34","531,289.68","636,217.02"
14,13,fiberglass and lightweight material manufacturing,"225,149.02","128,044.60","86,297.49","353,193.62","439,491.11"
15,14,Cement and Concrete product manufacturing,"424,931.78","158,382.56","145,112.00","583,314.34","728,426.34"
16,15,metal and wire manufacturing,"361,040.90","147,110.47","138,877.24","508,151.36","647,028.60"
17,16,mechanical components,"392,746.32","136,951.81","117,809.83","529,698.12","647,507.96"
18,17,semiconductors and batteries,"333,710.71","213,796.59","112,908.97","547,507.30","660,416.27"
19,18,electrical components,"381,448.59","156,091.64","139,716.49","537,540.22","677,256.71"
20,19,trade,"603,287.07","200,940.99","148,132.84","804,228.06","952,360.90"
21,20,land transportation,"478,685.12","201,522.18","173,397.21","680,207.31","853,604.52"
22,21,water transportation,"299,091.93","288,168.93","124,258.33","587,260.85","711,519.18"
23,22,information and general services,"634,305.11","175,808.22","175,261.71","810,113.33","985,375.04"
24,24,finance,"452,033.97","266,630.95","167,767.06","718,664.92","886,431.98"
25,25,engineering legal professional,"599,284.01","199,944.20","228,525.84","799,228.21","1,027,754.05"
26,26,leisure hospitality and recreation,"559,578.81","192,893.75","190,944.32","752,472.56","943,416.88"
27,27,government non utility and other,"955,928.25","19,054.99","261,735.98","974,983.24","1,236,719.22"
