"X","Display.Code","Display.Description","Direct.Effects","Indirect.Effects","Induced.Effects","Type.I.Effects","Type.SAM.Effects"
1,1,"Agriculture",11.9,0.56,2.08,12.47,14.55
2,2,"Mining",1.05,1.37,0.82,2.42,3.24
4,3,"Construction",5.9,1.09,1.67,6.99,8.67
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
10,8,"Machinery",3.05,1.25,1.16,4.3,5.46
NA,NA,NA,NA,NA,NA,NA,NA
12,10,"Battery Manufacturing",NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
14,12,"Wholesale Trade",2.25,1.96,1.29,4.2,5.5
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
18,15,"Insurance and Real Estate",2.13,1.3,1.03,3.43,4.46
17,16,"Finance",4.46,2.2,1.46,6.66,8.11
19,17,"Other Professional Services",4.02,1.8,2.03,5.82,7.84
20,18,"Office Services",5.87,1.76,1.78,7.63,9.41
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
22,21,"Government",6.14,0.62,2.25,6.76,9.01
NA,NA,NA,NA,NA,NA,NA,NA
