"X","Display.Code","Display.Description","Direct.Effects","Indirect.Effects","Induced.Effects","Type.I.Effects","Type.SAM.Effects"
1,1,"Agriculture","1,000,000.00","99,190.87","386,360.90","1,099,190.87","1,485,551.77"
2,2,"Mining","1,000,000.00","285,775.12","152,117.61","1,285,775.12","1,437,892.73"
4,3,"Construction","1,000,000.00","224,140.15","310,460.08","1,224,140.15","1,534,600.23"
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
10,8,"Machinery","1,000,000.00","269,270.75","215,336.26","1,269,270.75","1,484,607.01"
NA,NA,NA,NA,NA,NA,NA,NA
12,10,"Battery Manufacturing","0.00","0.00","0.00","0.00","0.00"
NA,NA,NA,NA,NA,NA,NA,NA
14,12,"Wholesale Trade","1,000,000.00","377,838.11","240,536.47","1,377,838.11","1,618,374.58"
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
18,15,"Insurance and Real Estate","1,000,000.00","300,744.41","191,683.53","1,300,744.41","1,492,427.94"
17,16,"Finance","1,000,000.00","433,266.00","270,653.19","1,433,266.00","1,703,919.19"
19,17,"Other Professional Services","1,000,000.00","365,675.05","376,416.07","1,365,675.05","1,742,091.12"
20,18,"Office Services","1,000,000.00","328,310.55","330,324.10","1,328,310.55","1,658,634.65"
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
22,21,"Government","1,000,000.00","131,577.26","418,719.70","1,131,577.26","1,550,296.96"
NA,NA,NA,NA,NA,NA,NA,NA
