"X","Display.Code","Display.Description","Direct.Effects","Indirect.Effects","Induced.Effects","Type.I.Effects","Type.SAM.Effects"
1,1,"Agriculture","1,000,000.00","83,570.77","216,924.80","1,083,570.77","1,300,495.56"
2,2,"Mining","1,000,000.00","364,506.78","99,398.37","1,364,506.78","1,463,905.15"
4,3,"Construction","1,000,000.00","204,255.54","287,727.79","1,204,255.54","1,491,983.33"
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
10,8,"Machinery","1,000,000.00","300,137.09","186,611.13","1,300,137.09","1,486,748.22"
NA,NA,NA,NA,NA,NA,NA,NA
12,10,"Battery Manufacturing","0.00","0.00","0.00","0.00","0.00"
NA,NA,NA,NA,NA,NA,NA,NA
14,12,"Wholesale Trade","1,000,000.00","259,179.63","137,442.35","1,259,179.63","1,396,621.97"
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
18,15,"Insurance and Real Estate","1,000,000.00","330,585.66","117,937.32","1,330,585.66","1,448,522.98"
17,16,"Finance","1,000,000.00","345,790.78","205,281.41","1,345,790.78","1,551,072.20"
19,17,"Other Professional Services","1,000,000.00","348,893.52","285,393.51","1,348,893.52","1,634,287.03"
20,18,"Office Services","1,000,000.00","290,861.41","283,245.46","1,290,861.41","1,574,106.87"
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
22,21,"Government","1,000,000.00","20,141.31","485,962.86","1,020,141.31","1,506,104.17"
NA,NA,NA,NA,NA,NA,NA,NA
