"X","Display.Code","Display.Description","Direct.Effects","Indirect.Effects","Induced.Effects","Type.I.Effects","Type.SAM.Effects"
1,1,"Agriculture","595,130.97","26,874.38","125,603.74","622,005.35","747,609.08"
2,2,"Mining","129,230.28","94,897.73","45,200.10","224,128.01","269,328.11"
4,3,"Construction","422,760.37","73,930.99","100,785.67","496,691.37","597,477.04"
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
10,8,"Machinery","297,762.71","95,148.52","78,666.56","392,911.23","471,577.80"
NA,NA,NA,NA,NA,NA,NA,NA
12,10,"Battery Manufacturing","292,259.59","70,502.05","72,378.87","362,761.64","435,140.52"
NA,NA,NA,NA,NA,NA,NA,NA
14,12,"Wholesale Trade","225,639.91","143,627.08","74,699.62","369,267.00","443,966.61"
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
18,15,"Insurance and Real Estate","136,918.69","104,849.38","50,060.33","241,768.07","291,828.40"
17,16,"Finance","343,020.30","152,376.77","99,592.90","495,397.07","594,989.97"
19,17,"Other Professional Services","504,825.28","127,541.29","127,064.18","632,366.57","759,430.75"
20,18,"Office Services","397,865.33","124,229.06","105,791.80","522,094.39","627,886.19"
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
22,21,"Government","702,982.88","12,338.19","142,063.72","715,321.08","857,384.79"
NA,NA,NA,NA,NA,NA,NA,NA
