,Display Code,Display Description,Direct Effects,Indirect Effects,Induced Effects,Type I Effects,Type SAM Effects
1,1,Agriculture,11.90,0.56,2.08,12.47,14.55
2,2,Mining,1.05,1.37,0.82,2.42,3.24
3,14,TPCU,2.64,1.88,1.21,4.52,5.73
4,3,Construction,5.90,1.09,1.67,6.99,8.67
5,4,Construction: Non-residential,3.75,1.47,1.22,5.23,6.45
6,5,Construction: residential,4.33,1.67,1.34,6.00,7.33
7,6,Manufaturing,2.13,1.40,1.00,3.53,4.54
8,7,Fabricated metals,2.13,1.08,0.97,3.21,4.18
9,22,Semiconductor (solar cell/module) manufacturing,1.67,1.47,1.28,3.13,4.41
10,8,Machinery,3.05,1.25,1.16,4.30,5.46
11,9,Electrical Equip,2.43,0.87,1.21,3.30,4.51
12,10,Battery Manufacturing,,,,,
13,11,Energy Wire Manufacturing,1.70,0.64,0.49,2.34,2.82
14,12,Wholesale Trade,2.25,1.96,1.29,4.20,5.50
15,13,Retail Trade,6.87,1.42,1.51,8.30,9.81
16,20,Other services,7.22,1.77,1.86,8.99,10.85
17,16,Finance,4.46,2.20,1.46,6.66,8.11
18,15,Insurance and Real Estate,2.13,1.30,1.03,3.43,4.46
19,17,Other Professional Services,4.02,1.80,2.03,5.82,7.84
20,18,Office Services,5.87,1.76,1.78,7.63,9.41
21,19,Architectural and Engineering Services,4.82,1.76,2.03,6.58,8.61
22,21,Government,6.14,0.62,2.25,6.76,9.01
