,Display Code,Display Description,Direct Effects,Indirect Effects,Induced Effects,Type I Effects,Type SAM Effects
1,1,Agriculture,9.42,0.39,1.32,9.81,11.13
2,2,Mining,1.26,2.08,0.61,3.34,3.95
3,14,TPCU,2.38,1.84,0.98,4.23,5.20
4,3,Construction,5.80,1.05,1.75,6.84,8.60
5,4,Construction: Non-residential,3.70,1.42,1.27,5.12,6.39
6,5,Construction: residential,4.27,1.63,1.41,5.90,7.31
7,6,Manufaturing,1.89,1.04,0.71,2.93,3.64
8,7,Fabricated metals,2.70,1.18,0.81,3.88,4.69
9,22,Semiconductor (solar cell/module) manufacturing,1.64,1.28,1.20,2.92,4.12
10,8,Machinery,3.23,1.68,1.14,4.91,6.04
11,9,Electrical Equip,2.69,0.95,1.12,3.64,4.76
12,10,Battery Manufacturing,,,,,
13,11,Energy Wire Manufacturing,1.65,0.63,0.53,2.29,2.82
14,12,Wholesale Trade,2.08,1.61,0.84,3.70,4.53
15,13,Retail Trade,6.69,1.32,1.59,8.01,9.59
16,20,Other services,9.40,1.66,1.83,11.06,12.89
17,16,Finance,4.38,2.06,1.25,6.44,7.69
18,15,Insurance and Real Estate,2.43,1.55,0.72,3.98,4.69
19,17,Other Professional Services,5.32,2.04,1.74,7.36,9.10
20,18,Office Services,6.53,1.86,1.73,8.39,10.11
21,19,Architectural and Engineering Services,5.65,1.93,1.91,7.58,9.50
22,21,Government,8.97,0.10,2.96,9.07,12.03
